state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-11-04,"512,740",71.8,"713,211","59,262",8.34,"62,106",72.6,"85,352"
AL,2020-11-04,"10,423",73.69,"14,144","1,123",7.94,"1,270",85.23,"1,490"
AZ,2020-11-04,"9,548",71.04,"13,440","1,056",7.87,"1,109",57.7,"1,922"
CA,2020-11-04,"44,562",71.63,"62,212","3,472",5.59,"5,077",70.36,"7,216"
CT,2020-11-04,"5,856",71.89,"8,146",545,6.69,537,50.95,"1,054"
DC,2020-11-04,"2,402",82.91,"2,897",156,5.38,272,72.92,373
GA,2020-11-04,"14,765",77.14,"19,140","1,801",9.41,"2,161",82.2,"2,629"
ID,2020-11-04,"1,918",54.68,"3,508",315,8.98,228,77.03,296
IN,2020-11-04,"10,823",65.85,"16,436","2,010",12.23,"1,535",71.33,"2,152"
KS,2020-11-04,"4,769",61.53,"7,751",686,8.88,620,80.52,770
LA,2020-11-04,"8,583",67.31,"12,751",618,4.93,"1,263",69.78,"1,810"
MD,2020-11-04,"8,160",81.67,"9,991",941,9.42,987,78.09,"1,264"
MI,2020-11-04,"16,876",76.74,"21,990","2,248",10.22,"2,131",82.31,"2,589"
AK,2020-11-04,892,62.51,"1,427",104,7.29,95,75.4,126
AR,2020-11-04,"5,422",65.11,"8,327",791,9.5,773,75.05,"1,030"
CO,2020-11-04,"6,926",68.55,"10,103",979,9.69,953,73.65,"1,294"
DE,2020-11-04,"1,686",67.36,"2,503",157,6.27,133,77.33,172
FL,2020-11-04,"39,132",75.6,"51,759","3,580",7.05,"4,781",74.19,"6,444"
HI,2020-11-04,"1,700",68.56,"2,459",92,3.74,169,69.55,243
IA,2020-11-04,"5,212",65.82,"7,919",849,10.85,543,79.27,685
IL,2020-11-04,"20,037",66.52,"30,123","4,050",13.44,"2,330",61.38,"3,796"
KY,2020-11-04,"8,558",72.23,"11,849","1,128",9.66,"1,132",74.87,"1,512"
MA,2020-11-04,"11,763",67.7,"17,374",591,3.4,"1,017",53.19,"1,912"
ME,2020-11-04,"1,961",69.2,"2,834",57,2.01,235,72.53,324
MN,2020-11-04,"8,283",72.85,"11,370","1,201",10.56,839,81.38,"1,031"
MO,2020-11-04,"11,528",64.94,"17,752","1,849",10.42,"1,611",74.86,"2,152"
MS,2020-11-04,"5,111",63.72,"8,021",633,7.89,657,76.71,747
MT,2020-11-04,"1,946",68.33,"2,848",448,15.73,162,76.06,213
ND,2020-11-04,"1,591",79.31,"2,006",447,22.28,121,90.98,133
NH,2020-11-04,"1,938",66.58,"2,911",70,2.4,168,59.36,283
NJ,2020-11-04,"14,001",72.66,"19,270","1,261",6.54,"1,375",62.16,"2,212"
NV,2020-11-04,"5,488",75.17,"7,301",738,10.34,653,76.29,856
NY,2020-11-04,"39,259",73.04,"53,751","2,500",4.65,"4,033",60.1,"6,710"
OK,2020-11-04,"7,229",69.48,"10,405","1,025",10.08,868,73.68,"1,178"
PA,2020-11-04,"23,500",74.35,"31,606","2,120",6.78,"3,020",79.79,"3,785"
SC,2020-11-04,"7,504",81.41,"9,218",751,8.15,985,78.24,"1,259"
TN,2020-11-04,"12,327",74.6,"16,525","1,668",10.4,"1,758",82.73,"2,125"
UT,2020-11-04,"3,127",59.66,"5,241",400,7.63,428,67.94,630
VA,2020-11-04,"11,075",64.98,"17,044","1,046",6.14,"1,324",66.1,"2,003"
NC,2020-11-04,"16,222",75.48,"21,491","1,570",7.35,"1,931",79.3,"2,435"
NE,2020-11-04,"3,551",71.15,"4,991",729,14.84,448,71.45,627
NM,2020-11-04,"2,269",70.05,"3,239",529,16.33,316,82.51,383
OH,2020-11-04,"20,176",69.23,"29,142","2,318",7.97,"2,727",72.05,"3,785"
OR,2020-11-04,"4,763",72.3,"6,588",264,4.01,507,65.08,779
RI,2020-11-04,"1,731",87.6,"1,976",208,10.53,139,86.34,161
SD,2020-11-04,"1,606",68.2,"2,355",448,19.02,172,86.43,199
TX,2020-11-04,"44,653",76.84,"58,070","6,738",11.63,"5,910",85.47,"6,915"
VT,2020-11-04,346,52.11,664,8,1.2,28,46.67,60
WA,2020-11-04,"8,390",67.73,"11,492",518,4.0,917,69.19,"1,243"
WI,2020-11-04,"8,612",70.24,"12,260","1,977",16.62,"1,107",69.32,"1,597"
WV,2020-11-04,"3,896",75.42,"5,166",305,5.9,493,78.5,628
WY,2020-11-04,644,45.19,"1,425",144,10.17,58,48.33,120
CW,2020-11-04,"512,740",71.8,"713,211","59,262",8.34,"62,106",72.6,"85,352"
AL,2020-11-04,"10,423",73.69,"14,144","1,123",7.94,"1,270",85.23,"1,490"
AZ,2020-11-04,"9,548",71.04,"13,440","1,056",7.87,"1,109",57.7,"1,922"
CA,2020-11-04,"44,562",71.63,"62,212","3,472",5.59,"5,077",70.36,"7,216"
CT,2020-11-04,"5,856",71.89,"8,146",545,6.69,537,50.95,"1,054"
DC,2020-11-04,"2,402",82.91,"2,897",156,5.38,272,72.92,373
GA,2020-11-04,"14,765",77.14,"19,140","1,801",9.41,"2,161",82.2,"2,629"
ID,2020-11-04,"1,918",54.68,"3,508",315,8.98,228,77.03,296
IN,2020-11-04,"10,823",65.85,"16,436","2,010",12.23,"1,535",71.33,"2,152"
KS,2020-11-04,"4,769",61.53,"7,751",686,8.88,620,80.52,770
LA,2020-11-04,"8,583",67.31,"12,751",618,4.93,"1,263",69.78,"1,810"
MD,2020-11-04,"8,160",81.67,"9,991",941,9.42,987,78.09,"1,264"
MI,2020-11-04,"16,876",76.74,"21,990","2,248",10.22,"2,131",82.31,"2,589"
AK,2020-11-04,892,62.51,"1,427",104,7.29,95,75.4,126
AR,2020-11-04,"5,422",65.11,"8,327",791,9.5,773,75.05,"1,030"
CO,2020-11-04,"6,926",68.55,"10,103",979,9.69,953,73.65,"1,294"
DE,2020-11-04,"1,686",67.36,"2,503",157,6.27,133,77.33,172
FL,2020-11-04,"39,132",75.6,"51,759","3,580",7.05,"4,781",74.19,"6,444"
HI,2020-11-04,"1,700",68.56,"2,459",92,3.74,169,69.55,243
IA,2020-11-04,"5,212",65.82,"7,919",849,10.85,543,79.27,685
IL,2020-11-04,"20,037",66.52,"30,123","4,050",13.44,"2,330",61.38,"3,796"
KY,2020-11-04,"8,558",72.23,"11,849","1,128",9.66,"1,132",74.87,"1,512"
MA,2020-11-04,"11,763",67.7,"17,374",591,3.4,"1,017",53.19,"1,912"
ME,2020-11-04,"1,961",69.2,"2,834",57,2.01,235,72.53,324
MN,2020-11-04,"8,283",72.85,"11,370","1,201",10.56,839,81.38,"1,031"
MO,2020-11-04,"11,528",64.94,"17,752","1,849",10.42,"1,611",74.86,"2,152"
MS,2020-11-04,"5,111",63.72,"8,021",633,7.89,657,76.71,747
MT,2020-11-04,"1,946",68.33,"2,848",448,15.73,162,76.06,213
ND,2020-11-04,"1,591",79.31,"2,006",447,22.28,121,90.98,133
NH,2020-11-04,"1,938",66.58,"2,911",70,2.4,168,59.36,283
NJ,2020-11-04,"14,001",72.66,"19,270","1,261",6.54,"1,375",62.16,"2,212"
NV,2020-11-04,"5,488",75.17,"7,301",738,10.34,653,76.29,856
NY,2020-11-04,"39,259",73.04,"53,751","2,500",4.65,"4,033",60.1,"6,710"
OK,2020-11-04,"7,229",69.48,"10,405","1,025",10.08,868,73.68,"1,178"
PA,2020-11-04,"23,500",74.35,"31,606","2,120",6.78,"3,020",79.79,"3,785"
SC,2020-11-04,"7,504",81.41,"9,218",751,8.15,985,78.24,"1,259"
TN,2020-11-04,"12,327",74.6,"16,525","1,668",10.4,"1,758",82.73,"2,125"
UT,2020-11-04,"3,127",59.66,"5,241",400,7.63,428,67.94,630
VA,2020-11-04,"11,075",64.98,"17,044","1,046",6.14,"1,324",66.1,"2,003"
NC,2020-11-04,"16,222",75.48,"21,491","1,570",7.35,"1,931",79.3,"2,435"
NE,2020-11-04,"3,551",71.15,"4,991",729,14.84,448,71.45,627
NM,2020-11-04,"2,269",70.05,"3,239",529,16.33,316,82.51,383
OH,2020-11-04,"20,176",69.23,"29,142","2,318",7.97,"2,727",72.05,"3,785"
OR,2020-11-04,"4,763",72.3,"6,588",264,4.01,507,65.08,779
RI,2020-11-04,"1,731",87.6,"1,976",208,10.53,139,86.34,161
SD,2020-11-04,"1,606",68.2,"2,355",448,19.02,172,86.43,199
TX,2020-11-04,"44,653",76.84,"58,070","6,738",11.63,"5,910",85.47,"6,915"
VT,2020-11-04,346,52.11,664,8,1.2,28,46.67,60
WA,2020-11-04,"8,390",67.73,"11,492",518,4.0,917,69.19,"1,243"
WI,2020-11-04,"8,612",70.24,"12,260","1,977",16.62,"1,107",69.32,"1,597"
WV,2020-11-04,"3,896",75.42,"5,166",305,5.9,493,78.5,628
WY,2020-11-04,644,45.19,"1,425",144,10.17,58,48.33,120
CW,2020-11-05,"516,607",72.21,"715,348","60,232",8.46,"62,375",72.81,"85,672"
AL,2020-11-05,"10,508",74.64,"14,078","1,168",8.3,"1,289",85.31,"1,511"
AZ,2020-11-05,"9,560",71.54,"13,363","1,056",7.91,"1,133",58.61,"1,933"
CA,2020-11-05,"44,633",71.65,"62,289","3,519",5.66,"5,120",70.54,"7,258"
CT,2020-11-05,"5,812",71.37,"8,143",543,6.67,535,50.76,"1,054"
DC,2020-11-05,"2,397",82.48,"2,906",125,4.3,264,70.59,374
GA,2020-11-05,"14,824",77.2,"19,201","1,780",9.27,"2,172",82.01,"2,649"
ID,2020-11-05,"1,869",53.1,"3,520",338,9.6,223,75.59,295
IN,2020-11-05,"10,946",66.55,"16,448","2,002",12.17,"1,552",71.63,"2,166"
KS,2020-11-05,"4,688",60.3,"7,775",734,9.46,630,81.29,775
LA,2020-11-05,"8,583",67.33,"12,747",618,4.94,"1,225",68.44,"1,790"
MD,2020-11-05,"8,119",81.24,"9,994",953,9.54,972,76.72,"1,267"
MI,2020-11-05,"17,027",77.49,"21,973","2,314",10.53,"2,130",82.42,"2,585"
AK,2020-11-05,896,62.97,"1,422",107,7.52,92,73.41,126
AR,2020-11-05,"5,531",66.4,"8,330",736,8.84,747,75.08,995
CO,2020-11-05,"6,838",67.59,"10,116","1,008",9.96,950,72.98,"1,301"
DE,2020-11-05,"1,731",69.6,"2,487",153,6.15,138,80.23,172
FL,2020-11-05,"39,156",75.78,"51,672","3,612",7.13,"4,801",74.58,"6,437"
HI,2020-11-05,"1,730",69.47,"2,470",86,3.48,172,71.07,242
IA,2020-11-05,"5,280",66.82,"7,902",944,12.09,547,80.44,680
IL,2020-11-05,"20,204",67.33,"30,009","4,138",13.79,"2,344",61.88,"3,789"
KY,2020-11-05,"8,776",74.03,"11,854","1,180",9.96,"1,180",77.24,"1,527"
MA,2020-11-05,"11,773",67.67,"17,397",575,3.31,"1,016",53.14,"1,912"
ME,2020-11-05,"1,957",69.57,"2,813",60,2.13,237,73.15,324
MN,2020-11-05,"8,270",72.74,"11,369","1,231",10.83,806,79.41,"1,015"
MO,2020-11-05,"11,722",66.16,"17,718","1,918",10.83,"1,518",77.49,"1,959"
MS,2020-11-05,"5,190",64.84,"8,004",663,8.28,657,74.74,879
MT,2020-11-05,"1,950",68.37,"2,852",453,15.88,161,74.19,217
ND,2020-11-05,"1,593",79.85,"1,995",470,23.56,118,91.47,129
NH,2020-11-05,"1,976",67.88,"2,911",81,2.78,172,60.99,282
NJ,2020-11-05,"13,991",72.42,"19,320","1,396",7.23,"1,382",62.28,"2,219"
NV,2020-11-05,"5,586",76.53,"7,300",752,10.54,690,80.29,860
NY,2020-11-05,"39,895",73.56,"54,238","2,538",4.68,"4,136",60.29,"6,859"
OK,2020-11-05,"7,214",69.35,"10,402","1,016",10.0,876,75.26,"1,164"
PA,2020-11-05,"24,236",75.74,"31,997","2,169",6.85,"3,111",80.87,"3,847"
SC,2020-11-05,"7,680",80.22,"9,574",740,7.73,989,77.94,"1,269"
TN,2020-11-05,"12,203",74.14,"16,460","1,642",10.28,"1,762",83.03,"2,122"
UT,2020-11-05,"3,086",58.96,"5,234",403,7.7,414,65.63,630
VA,2020-11-05,"11,037",64.7,"17,060","1,024",6.01,"1,292",64.63,"1,999"
NC,2020-11-05,"16,198",75.74,"21,387","1,516",7.13,"1,894",78.14,"2,424"
NE,2020-11-05,"3,510",70.21,"4,998",742,15.09,434,69.22,627
NM,2020-11-05,"2,236",69.22,"3,230",531,16.44,331,86.42,383
OH,2020-11-05,"20,204",70.23,"28,770","2,404",8.37,"2,755",72.6,"3,795"
OR,2020-11-05,"4,769",72.21,"6,604",284,4.3,506,63.83,792
